artist_name,first_quarter,first_usd,last_quarter,last_usd,total_usd,quarters_with_revenue,cagr_pct,classification
Burna Boy,Q1_2019,186236.61,Q2_2026,3036780.74,42960525.69,31,46.97,OBS
Rema,Q1_2019,13047.63,Q2_2026,2022343.04,37196147.9,31,100.5,OBS
Tems,Q1_2019,0.0,Q2_2026,2542924.08,25547585.53,30,,UNK
Wizkid,Q1_2019,228235.62,Q2_2026,1287564.19,24381708.74,31,26.95,OBS
CKay,Q1_2019,85.17,Q2_2026,787978.34,22213149.57,31,252.42,OBS
Ayra Starr,Q1_2019,0.0,Q2_2026,1382238.77,21212971.67,23,,UNK
Davido,Q1_2019,0.0,Q2_2026,988820.34,18832180.03,30,,UNK
Omah Lay,Q1_2019,0.0,Q2_2026,1079009.1,15352902.44,28,,UNK
Fireboy DML,Q1_2019,5183.26,Q2_2026,699292.23,14554700.57,31,96.7,OBS
Kizz Daniel,Q1_2019,13198.41,Q2_2026,447818.47,10816064.96,31,62.6,OBS
Asake,Q1_2019,0.0,Q2_2026,947262.58,10729833.23,29,,UNK
Libianca,Q1_2019,0.0,Q2_2026,437255.96,10347004.44,29,,UNK
Mr Eazi,Q1_2019,197878.99,Q2_2026,280354.33,10114272.21,31,4.92,OBS
Amaarae,Q1_2019,2294.33,Q2_2026,367371.14,8484168.19,31,101.4,OBS
Victony,Q1_2019,0.0,Q2_2026,460075.44,7410299.57,29,,UNK
Flavour,Q1_2019,170422.86,Q2_2026,276574.7,7216616.46,31,6.91,OBS
Oxlade,Q1_2019,308.82,Q2_2026,331953.81,6823995.89,31,161.89,OBS
Ruger,Q1_2019,0.0,Q2_2026,510451.71,6746466.3,24,,UNK
Olamide,Q1_2019,37947.71,Q2_2026,367389.92,6528915.81,31,36.77,OBS
BNXN,Q1_2019,0.0,Q2_2026,453303.98,6424843.63,30,,UNK
Joeboy,Q1_2019,2371.93,Q2_2026,368019.87,6321973.44,31,100.53,OBS
Tiwa Savage,Q1_2019,38197.68,Q2_2026,234075.1,5779856.56,31,28.41,OBS
Darkoo,Q1_2019,0.0,Q2_2026,216785.36,5778059.73,30,,UNK
Lojay,Q1_2019,0.0,Q2_2026,324983.97,5473960.12,30,,UNK
Tekno,Q1_2019,31074.35,Q2_2026,230676.89,5279335.24,31,31.85,OBS
P-Square,Q1_2019,56449.23,Q2_2026,379467.96,4919045.49,31,30.06,OBS
Patoranking,Q1_2019,62388.81,Q2_2026,209714.46,4453253.37,31,18.2,OBS
Sarz,Q1_2019,7064.21,Q2_2026,354620.42,4414442.96,31,71.62,OBS
Adekunle Gold,Q1_2019,8128.67,Q2_2026,264709.98,4165320.28,31,61.68,OBS
Yemi Alade,Q1_2019,52869.84,Q2_2026,131504.36,4162272.23,31,13.39,OBS
Pheelz,Q1_2019,0.0,Q2_2026,172459.18,3833710.35,30,,UNK
Shallipopi,Q1_2019,0.0,Q2_2026,339446.26,3640825.04,16,,UNK
Young Jonn,Q1_2019,0.0,Q2_2026,329129.97,3485209.79,30,,UNK
Chike,Q1_2019,0.0,Q2_2026,216702.9,3384166.51,30,,UNK
Maleek Berry,Q1_2019,101216.45,Q2_2026,78868.97,3327631.87,31,-3.38,OBS
Wande Coal,Q1_2019,24051.55,Q2_2026,186639.68,3178110.88,31,32.66,OBS
ODUMODUBLVCK,Q1_2019,0.0,Q2_2026,310797.54,3161788.41,29,,UNK
Naira Marley,Q1_2019,6455.26,Q2_2026,157650.13,3049494.19,31,55.39,OBS
Timaya,Q1_2019,71174.42,Q2_2026,109171.56,3018136.96,31,6.08,OBS
Seyi Vibez,Q1_2019,0.0,Q2_2026,198428.15,2763054.1,29,,UNK
